K H I H	1042 0 1008
S M L K	1047 0 1015
K L I	1046 0 1018
M O O G	957 0 926
O E W G	422 692 961 0 391 992
P D F F	362 638 914 0 331 945
T O N A	966 0 935
N Q R F	1243 0 1210
I Q D U	356 0 308 403
G C T D	362 575 822 0 331 854
Y K R	1048 1202 1228 0 1022 1278
T E R	899 1091 1248 0 866 1280
N F N	877 0 846
Q G L	957 0 926
E M K N	879 1005 1030 0 843 1083
E C N	422 605 822 0 391 847
Q A T Q	910 0 879
Q V Y Y	989 0 884 1017
E Q C N	422 605 822 0 391 847
T C N D	362 575 822 0 331 854
C H H	824 0 779 943
O U M U	345 0 314
C C E	422 595 810 0 391 831
I D M P	362 1061 0 331 1092
M I O K	1047 0 1015
W D Q D	371 0 314 409
W M T D	362 961 0 331 992
O O P	1057 0 1025
O Q R	1243 0 1210
U W H P	1055 0 1022
D D P	371 0 314 409
M Q H U	595 0 563
Q G U C	818 922 1025 0 784 1059
I M R T	1243 0 1210
W E Y	422 652 916 0 391 945
H K G	1043 0 1014
I F V Q	910 0 879
F K F	1046 0 1015
L T P P	1057 0 1025
K G Y	1014 0 972 1087
A T U Q	910 0 879
O V O N	877 0 846
C O N	848 0 787 909
G I L	957 0 926
D F Y U	364 0 303 405
Y N Q T	957 0 880 1035
H F E N	595 757 880 0 562 912
P P N	877 0 846
V T W	936 0 905
G R W N	1243 0 1210
P P G F	910 0 879
O K K P	1064 0 1048
K S I	1046 0 1018
L N Y G	982 0 927 1038
P G E G	422 692 961 0 391 992
V C A Y	899 0 790 943
L W V U	345 0 314
V Q U D	362 961 0 331 992
M U M N	877 0 846
L L S M	918 0 887
L G F S	912 0 881
Y L M	963 0 891 1035
R V Q N	1243 0 1210
A C S R	897 1091 1248 0 869 1280
S A F P	1057 0 1025
E F P	422 1061 0 391 1092
E W F Y	422 652 916 0 391 945
C D L Y	362 566 825 0 331 855
N Y F A	987 0 934 1040
N F K	1047 0 1015
O G Y	958 0 881 1035
N G L	957 0 926
L P I H	912 0 879
R K G O	1240 0 1207
T R E U	418 1249 0 391 1280
H D W	595 785 940 0 563 971
Q M R	1243 0 1210
S H A	964 0 931
W H M D	595 795 961 0 563 992
E A F S	422 669 916 0 391 947
O A G Q	910 0 879
R K M A	1240 0 1207
Q T D	362 961 0 331 992
A F U O	962 0 931
E Q M	422 672 922 0 391 953
R S A E	962 1124 1247 0 930 1280
C L O C	824 0 767 862
S A Y D	362 962 0 331 985
L C S	865 0 788 943
S D Q A	362 970 0 331 1001
T Q L A	966 0 935
A Y V N	913 942 972 0 849 1036
I S Q G	957 0 926
H Q Y	926 0 876 1033
K Q Y	1014 0 972 1087
E L S	422 669 916 0 391 947
L S L L	957 0 926
D C Q	362 575 823 0 331 852
V Y K	1015 0 971 1087
S D V V	362 963 0 331 994
L F N I	965 0 934
S F A M	918 0 887
W S I Y	958 0 881 1035
V M L	957 0 926
V D Y R	955 0 871 1038
P L A I	965 0 934
P O L	957 0 926
F C U F	864 0 788 941
H W V	957 0 924
F U P	1057 0 1025
M R C	1024 1159 1243 0 990 1279
R U M E	962 1124 1247 0 930 1280
T Q S D	362 961 0 331 992
V N F E	422 695 968 0 391 999
P T N N	877 0 846
D K L H	917 0 878 1079
G V U	345 0 314
G P L	957 0 926
W I T O	962 0 931
N H H	910 0 876
O Q A A	966 0 935
Q M P D	362 961 0 331 992
D D R	373 634 907 0 353 939
A U V	959 0 928
E E I R	433 664 907 0 413 939
E G S N	422 652 881 0 391 912
I U H	912 0 879
Q M Q K	1047 0 1015
T K R L	1240 0 1207
C K G N	877 1010 1028 0 849 1083
W H G F	908 0 875
K E A	985 0 934 1080
K T Q E	983 0 932 1080
P F R	1243 0 1210
D N O Q	362 638 914 0 331 945
S G K	1047 0 1015
I W A	966 0 935
M E H	594 774 917 0 562 949
W V Y	958 0 881 1035
Y V K	1015 0 971 1087
E K F I	984 0 933 1080
V W D	362 961 0 331 992
P O R D	955 1120 1248 0 922 1280
V W W	936 0 905
O S V	959 0 928
D V Y	362 622 916 0 331 945
D G Q M	362 922 0 331 953
O G R N	1243 0 1210
S V I F	910 0 879
C M S	865 0 788 943
N A O M	918 0 887
T A F P	1057 0 1025
O H Y F	928 0 878 1033
O P D S	362 639 916 0 331 947
E C M G	422 605 822 0 391 854
S W O L	957 0 926
O H R	1241 0 1207
S K F Y	1014 0 972 1087
T Q O	962 0 931
K E M Y	979 0 878 1030
O R H O	1241 0 1207
Q T M Y	958 0 881 1035
V Y G T	957 0 880 1035
S U C W	0 787 968
M P K F	1046 0 1015
F S D Y	362 622 916 0 331 945
D C C D	378 0 305 414
P N H U	595 0 563
Y H H C	815 917 998 0 778 1024
A O T V	959 0 928
G A T V	959 0 928
D E N N	410 0 333 458
S T N W	936 0 905
Y D P V	362 963 0 331 987
R M G Y	1000 1147 1245 0 971 1279
V L G N	877 0 846
R G A O	1243 0 1210
D P V Q	362 638 914 0 331 945
P Q S W	936 0 905
Q W V	959 0 928
D F Y	362 622 916 0 331 945
N Y A	987 0 934 1040
R D V	957 1121 1248 0 924 1280
G T O V	959 0 928
S H N I	963 0 930
P R K G	1240 0 1207
C D O	362 575 822 0 331 854
Q N E	422 695 968 0 391 999
N G I	965 0 934
U P R I	1243 0 1210
O Y G	982 0 927 1038
V K C E	830 885 960 0 783 998
E F F	422 668 914 0 391 945
Q H E V	594 796 963 0 562 994
O M R	1243 0 1210
Q D G Y	362 622 916 0 331 945
O O V	959 0 928
T R M	1243 0 1210
R Y K	1048 1202 1228 0 1022 1278
S E E	431 0 374 469
S E Q	422 668 914 0 391 945
Y U V	983 0 928 1038
W L T S	912 0 881
R S D U	368 1249 0 347 1280
Q D N	362 622 881 0 331 912
P G P	1057 0 1025
Y L H D	595 778 961 0 563 985
E A U	386 0 318 453
G F G I	965 0 934
T Q V K	1047 0 1015
A C E K	857 0 785 927
V H T	905 0 872
R C U C	828 930 1028 0 806 1063
S F I M	918 0 887
N L C	818 922 1025 0 784 1059
C E U	407 0 318 458
H A K R	1238 0 1204
W M D Y	362 622 916 0 331 945
A N U	345 0 314
U H O Q	908 0 875
T P G	957 0 926
E H S	594 773 915 0 562 947
S O H	912 0 879
V U I N	877 0 846
L Q Q	910 0 879
M L K	1047 0 1015
Y U L	982 0 927 1038
S L U	345 0 314
Y A N A	987 0 934 1040
D N W	362 940 0 331 971
R M F K	1240 0 1207
D R O S	910 1097 1248 0 877 1280
S T E C	422 605 821 0 391 854
T H U	595 0 563
E E V Q	431 0 374 469
O P L	957 0 926
D Y Y A	362 974 0 331 993
E D H	425 517 595 0 395 634
O E Q	422 668 914 0 391 945
T E C	422 605 821 0 391 854
H U W T	905 0 872
K O Q	1046 0 1015
E Q F W	422 681 940 0 391 971
W U Y	958 0 881 1035
O G W S	912 0 881
T U O G	957 0 926
I Y Q F	959 0 883 1035
S L F H	912 0 879
O P Y Y	989 0 884 1017
M A Q	910 0 879
U T R	1243 0 1210
M G Q W	936 0 905
V N F	910 0 879
I S S S	912 0 881
O P D W	362 940 0 331 971
C Q F C	824 0 767 862
Y C H	878 0 785 947
P Y V U	345 1008 0 314 1039
V I I F	910 0 879
L E P	422 1061 0 391 1092
F K A L	1046 0 1017
Q R T	1243 0 1210
E E K	433 659 899 0 413 931
H C L G	821 0 782 988
Y P H	933 0 882 1033
V A I	965 0 934
O O K W	1046 0 1015
I R U T	1243 0 1210
E U O E	431 0 374 469
K P P T	1046 0 1015
V D I	362 969 0 331 1000
T K N A	1046 0 1018
H R Q L	1241 0 1207
G W E	422 695 968 0 391 999
O S K M	1046 0 1015
U G H D	595 795 961 0 563 992
O G E	422 695 968 0 391 999
M P U	345 0 314
H D U A	595 799 970 0 563 1001
E I S Y	422 652 916 0 391 945
W I A S	912 0 881
C A S L	835 888 941 0 786 990
E I M R	899 1091 1248 0 866 1280
D F P F	362 638 914 0 331 945
U F A	966 0 935
M U K Q	1046 0 1015
P P O	962 0 931
C O M Q	864 0 788 941
Y V W	972 0 908 1035
F L R W	1243 0 1210
F K M	1046 0 1015
U K S S	1046 0 1015
A H H	910 0 876
A I F I	965 0 934
G Q P	1057 0 1025
S R O	1243 0 1210
O C Y K	982 0 864 1030
W S P	1057 0 1025
D N O T	362 637 911 0 331 942
E A E	431 0 374 469
K H Y K	1039 0 1011 1112
N V H K	1045 0 1011
U F M K	1047 0 1015
K L G C	1030 0 988 1093
N M L W	936 0 905
A E H	594 774 917 0 562 949
F C I	831 892 953 0 786 998
P Q O A	966 0 935
E L K I	984 0 933 1080
U K F	1046 0 1015
H P H E	606 809 968 0 585 999
O I H A	964 0 931
U M S	912 0 881
T M Q	910 0 879
W G W H	912 0 879
F S D N	362 622 881 0 331 912
S V S W	936 0 905
F D K	896 0 859 1082
C U O Q	864 0 788 941
R H N L	1241 0 1207
K I T N	1047 0 1015
F D D	371 0 314 409
H U I	963 0 930
D H R A	962 1136 1247 0 928 1280
Q U U K	1047 0 1015
M O O	962 0 931
U N V W	936 0 905
O V G W	936 0 905
I M V F	910 0 879
H D G L	595 795 961 0 563 992
D S D G	371 0 314 409
Q W H	912 0 879
L S F C	818 922 1025 0 784 1059
H R R	1251 0 1229
A S N	877 0 846
G F N O	962 0 931
R L W U	1243 0 1210
P Y E	422 680 967 0 391 990
D N I U	356 0 308 403
D E Y N	417 0 330 462
H W E	594 798 968 0 562 999
M F T	907 0 876
D F K	896 0 859 1082
G Q P U	345 0 314
S T T T	907 0 876
I F P N	877 0 846
N M P U	345 0 314
G Q U Q	910 0 879
U Q F	910 0 879
S Q K H	1044 0 1011
Q T V Q	910 0 879
D A E O	410 0 333 458
R Y V R	1236 0 1200 1302
M P D	362 961 0 331 992
Y S H K	1008 0 967 1090
K F U Q	1046 0 1015
M S O H	912 0 879
S S S	912 0 881
A S D U	356 0 308 403
N Y G L	982 0 927 1038
U D M E	410 0 333 458
D D V U	358 0 302 384
S K A L	1046 0 1017
I L R	1243 0 1210
U P A	966 0 935
L R E Y	958 0 878 1038
M W H N	875 0 842
A E S M	422 672 922 0 391 953
Y O S T	957 0 880 1035
V L E	422 695 968 0 391 999
F Q R Y	1000 1147 1245 0 971 1279
C E I	422 605 822 0 391 854
G U V V	959 0 928
P R C	1024 1159 1243 0 990 1279
N S Q C	818 922 1025 0 784 1059
A T L	957 0 926
F L I M	918 0 887
R I F	1243 0 1210
N F R	1243 0 1210
G P M	918 0 887
Q P G	957 0 926
Y G O	985 0 931 1039
I S E	422 695 968 0 391 999
L U K	1047 0 1015
E P G V	422 693 963 0 391 994
S V T E	422 695 968 0 391 999
Y U C D	362 566 824 0 331 858
Q Q Y T	957 0 880 1035
G C T E	422 605 822 0 391 854
W W H D	595 795 961 0 563 992
D G I	362 969 0 331 1000
T L L L	957 0 926
S I A P	1057 0 1025
O E Y H	595 757 922 0 562 950
P K Y W	1013 0 975 1086
Q E A Y	422 652 916 0 391 945
A O W	936 0 905
S Y N K	1015 0 971 1087
G O U D	362 961 0 331 992
V R O	1243 0 1210
I M T S	912 0 881
K P T	1046 0 1015
E R N	875 1079 1248 0 843 1280
E O V	422 693 963 0 391 994
Y A E G	422 676 962 0 391 985
R P G O	1243 0 1210
S K Q	1046 0 1015
I O K F	1046 0 1015
K F D V	977 0 927 1079
M F A	966 0 935
L F V M	918 0 887
W S T W	936 0 905
G H F	908 0 875
Y N O C	828 876 1001 0 785 1024
C K H H	911 0 875 1078
M M H W	934 0 901
L E M	422 672 922 0 391 953
S K A N	1047 0 1015
S N G	957 0 926
L E Y A	422 681 969 0 391 992
S M N P	1057 0 1025
O D H	595 774 917 0 563 949
O F G	957 0 926
N V C	818 922 1025 0 784 1059
P H V	957 0 924
I G A S	912 0 881
A E D V	410 0 333 458
D A U	356 0 308 403
R T N	1243 0 1210
T N N E	422 695 968 0 391 999
E T I D	410 0 333 458
O R M V	1243 0 1210
T H A Q	908 0 875
U U Y	958 0 881 1035
H M K Y	1008 0 968 1090
W W V	959 0 928
Y I G Y	989 0 884 1017
L W F M	918 0 887
G E T W	422 681 940 0 391 971
T R P S	1243 0 1210
C T O	832 890 948 0 786 995
A F M I	965 0 934
G P U K	1047 0 1015
D F M M	362 922 0 331 953
O R T D	955 1120 1248 0 922 1280
N S A	966 0 935
T G C D	362 575 822 0 331 854
O L V T	907 0 876
G R T	1243 0 1210
O Q K U	1048 0 1015
W Y C G	956 0 788 984
V E S O	422 694 966 0 391 997
T F C	818 922 1025 0 784 1059
R H Y O	1002 1160 1244 0 978 1279
D F Y L	362 962 0 331 985
Y W P Q	959 0 883 1035
H T Q	908 0 875
L N R M	1243 0 1210
L N A	966 0 935
C D A O	362 575 822 0 331 854
R F E	962 1124 1247 0 930 1280
A O N N	877 0 846
C R V	956 1122 1248 0 924 1280
T V U	345 0 314
U G U	345 0 314
L D D H	374 488 601 0 353 635
S V D G	362 961 0 331 992
G N A E	422 695 968 0 391 999
O T S A	966 0 935
Q M N A	966 0 935
L R W E	962 1124 1247 0 930 1280
P K I	1046 0 1018
F G M	918 0 887
O V O	962 0 931
E L W E	431 0 374 469
U L T	907 0 876
T H R	1241 0 1207
C N C	824 0 767 862
P D E	410 0 333 458
C R H	908 1108 1248 0 877 1280
N G D V	362 963 0 331 994
C E L	422 605 822 0 391 854
K Y H	1008 0 969 1090
F Y T	957 0 880 1035
I E I	422 696 969 0 391 1000
Y S G	982 0 927 1038
L C U O	832 890 948 0 786 995
Y R S I	1005 1148 1245 0 982 1279
S N K	1047 0 1015
T K O M	1046 0 1015
W F H I	963 0 930
R L N	1243 0 1210
L O P U	345 0 314
H E O H	606 786 917 0 585 949
F S U	345 0 314
T Y P T	957 0 880 1035
W A Y	958 0 881 1035
W F S	912 0 881
P R O	1243 0 1210
H N K	1045 0 1011
A N L	957 0 926
P W S	912 0 881
L Q O	962 0 931
U D N K	896 0 859 1082
T G L	957 0 926
O Y A F	959 0 883 1035
M V Y G	982 0 927 1038
W D N R	899 1091 1248 0 866 1280
H N P N	875 0 842
K Y G K	1042 0 1014 1108
P U E R	899 1091 1248 0 866 1280
D G I F	362 638 914 0 331 945
L V A	966 0 935
K W W	1046 0 1015
P R H	1241 0 1207
Q P H I	963 0 930
W O S	912 0 881
G Q D L	362 961 0 331 992
D M E	410 0 333 458
S O M G	957 0 926
I S N	877 0 846
W V E	422 695 968 0 391 999
W R C	1024 1159 1243 0 990 1279
N T V A	966 0 935
Y Y D C	362 560 825 0 331 860
E L T R	899 1091 1248 0 866 1280
T K A	1046 0 1018
K I N P	1065 0 1045
A S O	962 0 931
C K U	814 955 1050 0 781 1084
W G W Q	910 0 879
L K O I	1046 0 1018
F A M K	1047 0 1015
L Q S	912 0 881
P E P	422 1061 0 391 1092
S I T F	910 0 879
K Q E W	949 0 904 1079
Q I H W	934 0 901
T O U M	918 0 887
H E N H	606 786 917 0 585 949
V Q T G	957 0 926
K H U P	1063 0 1042
I R O N	1243 0 1210
C E O F	422 605 823 0 391 852
Q L K	1047 0 1015
D U G G	362 961 0 331 992
H W H	910 0 876
O D L	362 961 0 331 992
P L W W	936 0 905
P F Q	910 0 879
H T A	964 0 931
H G F	908 0 875
O C R S	908 1097 1248 0 879 1280
Q W L K	1047 0 1015
P O S M	918 0 887
N Y Q	959 0 883 1035
C E S T	422 605 823 0 391 852
L W U O	962 0 931
W W D	362 961 0 331 992
I A I W	936 0 905
W Y I	986 0 933 1039
N G D R	899 1091 1248 0 866 1280
Q O N	877 0 846
Y P W L	982 0 927 1038
N E E K	433 659 899 0 413 931
G D Q U	356 0 308 403
U H Y O	973 0 928 1042
M L N M	918 0 887
N H I Y	926 0 876 1033
I V N S	912 0 881
V L R M	1243 0 1210
Y W I M	963 0 891 1035
D D U M	371 0 314 409
R U O I	1243 0 1210
T E R E	433 695 970 0 413 1002
I R T V	1243 0 1210
L O H	912 0 879
Q V R	1243 0 1210
C N T	863 0 788 938
L T Q W	936 0 905
Y D H S	595 756 920 0 563 949
L N V T	907 0 876
N W W Y	958 0 881 1035
U T M Y	958 0 881 1035
A N H	912 0 879
A L E	422 695 968 0 391 999
O P L S	912 0 881
V H U V	957 0 924
A P Q	910 0 879
W M K M	1046 0 1015
H W S K	1045 0 1011
Q Y S R	1000 1147 1245 0 970 1279
N U Q	910 0 879
Y R R	1236 0 1200 1302
K N T G	1046 0 1017
C D O E	417 0 330 462
O P E	422 695 968 0 391 999
Q Y G	982 0 927 1038
Y C G	956 0 788 984
R G I	1243 0 1210
C G E A	422 605 822 0 391 854
G R F D	955 1120 1248 0 922 1280
T L N	877 0 846
K F V O	1046 0 1017
F D T	362 637 911 0 331 942
K D D	373 662 965 0 353 994
M V O	962 0 931
P F A U	345 0 314
R U O R	1253 0 1232
O G E W	422 681 940 0 391 971
U Y K Y	1005 0 961 1043
T A V N	877 0 846
V K W M	1046 0 1015
S M M	918 0 887
N G O I	965 0 934
M D Y D	375 0 309 411
M F E I	422 696 969 0 391 1000
N T A	966 0 935
Y Y Y	994 0 884 1013
T R Y	1000 1147 1245 0 971 1279
S R T	1243 0 1210
Y N E	422 680 967 0 391 990
T U K	1047 0 1015
F A S E	422 695 968 0 391 999
U A F Y	958 0 881 1035
M Q V	959 0 928
O H S F	908 0 875
V T L	957 0 926
Q H O P	1055 0 1022
S P F	910 0 879
I W L	957 0 926
A P H I	963 0 930
L C U	345 582 819 0 314 850
G K O	1046 0 1017
Y V A	987 0 934 1040
L D F	362 638 914 0 331 945
S D R	899 1091 1248 0 866 1280
T Q D V	362 963 0 331 994
G T W M	918 0 887
A H T S	910 0 877
F R Y	1000 1147 1245 0 971 1279
G O T H	912 0 879
A K L	1046 0 1017
C Y F	901 0 790 945
M W H	912 0 879
F F W V	959 0 928
S N E W	422 681 940 0 391 971
Y V W U	345 1008 0 314 1039
L A S C	818 922 1025 0 784 1059
R E E T	433 667 913 0 413 945
D Y Q	362 623 918 0 331 947
L I O	962 0 931
Y G H P	1019 0 971 1092
M A V L	957 0 926
L U I	965 0 934
V I L V	959 0 928
U S Y Q	959 0 883 1035
K U E	983 0 932 1080
N Y A F	959 0 883 1035
E T H	594 774 917 0 562 949
D M O F	362 638 914 0 331 945
M D T	362 637 911 0 331 942
G S M E	422 695 968 0 391 999
I N T	907 0 876
H D S	595 773 915 0 563 947
M U O U	345 0 314
Q Q R	1243 0 1210
M A G	957 0 926
L P V	959 0 928
A N P	1057 0 1025
L V I	965 0 934
M Q M	918 0 887
D G K U	368 1054 0 347 1085
H P W	934 0 901
R R U	1253 0 1232
R E V	957 1121 1248 0 924 1280
U D M	362 922 0 331 953
L U M	918 0 887
T N O H	912 0 879
I C L R	897 1091 1248 0 869 1280
U M I K	1047 0 1015
Q P O Q	910 0 879
C D A I	362 575 822 0 331 854
T A N	877 0 846
C M O P	816 938 1059 0 784 1092
V Q O K	1047 0 1015
Y G F H	933 0 882 1033
E C T V	422 605 822 0 391 854
U K G V	1046 0 1017
V Q S	912 0 881
C L H	832 0 783 943
E H L F	594 772 913 0 562 945
Y L M R	1000 1147 1245 0 970 1279
K C E E	433 612 824 0 413 857
N G T	907 0 876
I Y R W	1001 1147 1245 0 975 1279
U G I P	1057 0 1025
Q C F	864 0 788 941
A D P	362 1061 0 331 1092
Q M Q	910 0 879
P T R K	1240 0 1207
N H O	960 0 927
Y H N P	1019 0 971 1092
U N A	966 0 935
K S T K	1058 0 1037
P F P G	957 0 926
H P S	910 0 877
Q T R	1243 0 1210
G L A N	877 0 846
I O P V	959 0 928
I K N S	1046 0 1015
U Q S H	912 0 879
C V K I	982 0 933 1080
W R T	1243 0 1210
V A U T	907 0 876
G S U L	957 0 926
S Q D	362 961 0 331 992
U S I	965 0 934
I W P Q	910 0 879
K K I L	1058 0 1038
D H P	595 844 1061 0 562 1092
I A O	962 0 931
G H S R	1241 0 1207
E Y M	422 657 926 0 391 954
D S H G	595 795 961 0 563 992
O V N A	966 0 935
L D F Y	362 622 916 0 331 945
A A N	877 0 846
A W O	962 0 931
G C D	362 575 822 0 331 854
M I L T	907 0 876
A M O	962 0 931
R I E	962 1124 1247 0 930 1280
R U A	1243 0 1210
R V A	1243 0 1210
V S W M	918 0 887
E S L	422 692 961 0 391 992
E T Q V	422 693 963 0 391 994
V H F U	595 0 563
T G S Y	958 0 881 1035
R D R A	1236 0 1200 1302
D L P	362 1061 0 331 1092
N I A	966 0 935
F Y V K	1015 0 971 1087
C S P G	835 888 941 0 786 990
R P S	1243 0 1210
D R C T	863 0 785 941
T T O	962 0 931
I R H N	1241 0 1207
N F Y V	983 0 928 1038
R D M	916 1100 1248 0 883 1280
U N C	818 922 1025 0 784 1059
S P O W	936 0 905
V L T	907 0 876
W G T	907 0 876
U R G S	1243 0 1210
G W C N	848 0 787 909
N F I G	957 0 926
A D M R	899 1091 1248 0 866 1280
V V G K	1047 0 1015
I P V	959 0 928
P P V	959 0 928
W Q F	910 0 879
P C K I	982 0 933 1080
S R K T	1240 0 1207
R I D W	934 1109 1248 0 901 1280
Q K I D	975 0 925 1079
H M A E	594 798 968 0 562 999
E W F	422 668 914 0 391 945
R N Q P	1242 0 1210
D E A	410 0 333 458
O K D P	1048 0 1009 1106
F V T	907 0 876
G N F F	910 0 879
H K T W	1044 0 1012
P P P	1057 0 1025
Q F S	912 0 881
E L O M	422 672 922 0 391 953
I D U	356 0 308 403
N U K S	1046 0 1015
Y N F I	986 0 933 1039
K P Y A	1014 0 981 1086
S D T N	362 622 881 0 331 912
N O E	422 695 968 0 391 999
A I F	910 0 879
N L I	965 0 934
V W T N	877 0 846
W M K I	1046 0 1018
E K M Y	979 0 878 1030
D W P K	896 0 859 1082
C W E	422 605 822 0 391 854
K T R	1240 0 1207
D K N E	420 695 972 0 395 1000
R Y H W	999 1160 1244 0 971 1279
Y K U T	1014 0 972 1087
V W R T	1243 0 1210
M H E	594 798 968 0 562 999
L C D	362 575 822 0 331 854
H Y K K	1039 0 1011 1112
N Q V T	907 0 876
P C Y	899 0 790 943
F K W	1046 0 1015
Y F D	362 962 0 331 985
C G O	832 890 948 0 786 995
O O V D	362 961 0 331 992
W H T	905 0 872
M A H F	908 0 875
L F W H	912 0 879
W U R	1243 0 1210
I N F G	957 0 926
R U D	955 1120 1248 0 922 1280
A G R V	1243 0 1210
C V Y H	878 0 785 947
P V O	962 0 931
H G Q	908 0 875
U M Q	910 0 879
S O A	966 0 935
G N K D	975 0 925 1079
I Y H	933 0 882 1033
C P C Q	824 0 767 859
L C N	848 0 787 909
L V U Y	958 0 881 1035
U C H	832 0 783 943
P P K	1047 0 1015
C Q N L	835 888 941 0 786 990
S W N W	936 0 905
I Q K P	1065 0 1045
I W E I	422 696 969 0 391 1000
D K S O	981 0 930 1079
K W U	1048 0 1015
U Y P	1032 0 975 1090
E N A	422 696 970 0 391 1001
F W F	910 0 879
O Q K	1047 0 1015
I A W K	1047 0 1015
H Y I N	887 0 844 1034
K Q K	1058 0 1037
F K G	1046 0 1017
I M Y G	982 0 927 1038
E R U	418 1249 0 391 1280
T N C	818 922 1025 0 784 1059
U Y I K	1015 0 971 1087
U T H E	594 798 968 0 562 999
S N Y H	933 0 882 1033
V H S	910 0 877
R R Q P	1253 0 1232
A O K	1047 0 1015
S C K D	835 881 949 0 783 992
H O W F	908 0 875
K F O	1046 0 1017
Y H G H	924 0 879 1034
O O H T	905 0 872
C C H S	818 0 770 861
K I Q C	1030 0 988 1093
M F U W	936 0 905
I G O H	912 0 879
E W K Y	979 0 878 1030
C C C C	818 0 755 837
N F Y A	987 0 934 1040
F E P E	431 0 374 469
U F K O	1046 0 1017
N P D F	362 638 914 0 331 945
L P R Q	1243 0 1210
I R M Q	1243 0 1210
N A A K	1047 0 1015
E E A H	437 526 594 0 413 634
D P Y F	362 623 918 0 331 947
H W D	595 795 961 0 563 992
K K V P	1064 0 1048
N U R T	1243 0 1210
R T I	1243 0 1210
Q D W I	362 969 0 331 1000
M D E E	413 0 331 440
W M K S	1046 0 1015
Y N G	982 0 927 1038
H M Q	908 0 875
Q U A	966 0 935
F A U L	957 0 926
R U W	1243 0 1210
E K K	1041 0 1005 1107
S T F C	818 922 1025 0 784 1059
C Y R I	986 0 930 1042
O P P	1057 0 1025
E N E	431 0 374 469
M H A H	910 0 876
W D Q G	362 961 0 331 992
R L G	1243 0 1210
V O S	912 0 881
Y P K	1015 0 971 1087
E H C I	597 708 819 0 563 854
L V K Q	1046 0 1015
W W N	877 0 846
C G Y C	828 0 762 864
P W A C	818 922 1025 0 784 1059
P F G C	818 922 1025 0 784 1059
T F Y N	913 942 972 0 849 1036
M H N	875 0 842
G U C	818 922 1025 0 784 1059
K I T	1046 0 1015
N V C M	868 0 788 949
K H A Y	1008 0 968 1090
T F D L	362 961 0 331 992
C P F R	897 1091 1248 0 869 1280
S W N	877 0 846
D A R T	905 1094 1248 0 872 1280
E A V D	410 0 333 458
Y U D Y	362 613 920 0 331 951
H T O L	955 0 922
S E V	422 693 963 0 391 994
Y Q I M	963 0 891 1035
D I G	362 961 0 331 992
N A Y K	1015 0 971 1087
P T P	1057 0 1025
P U M L	957 0 926
I O L K	1047 0 1015
R M K G	1240 0 1207
I P R S	1243 0 1210
H H A G	953 0 919
G R T K	1240 0 1207
R M S	1243 0 1210
G P P	1057 0 1025
U V M W	936 0 905
R M T	1243 0 1210
F R Q	1243 0 1210
F Q V	959 0 928
D L A T	362 637 911 0 331 942
M U E U	386 0 318 453
V R L I	1243 0 1210
Q W R	1243 0 1210
Q N C Q	864 0 788 941
S G V H	912 0 879
V C E	422 605 822 0 391 854
C S G M	868 0 788 949
L T G V	959 0 928
Q O G	957 0 926
O I L I	965 0 934
A V E T	422 667 911 0 391 942
D V F L	362 961 0 331 992
A H F E	594 798 968 0 562 999
L K L R	1240 0 1207
C S K F	913 0 878 1081
V O P P	1057 0 1025
Y A D E	417 0 330 462
A L W	936 0 905
N M U	345 0 314
Y N N C	828 876 1001 0 785 1024
G M I N	877 0 846
L Q E L	422 692 961 0 391 992
U I R F	1243 0 1210
U W M N	877 0 846
I N R D	955 1120 1248 0 922 1280
Y Y C	998 0 786 1016
S R D	955 1120 1248 0 922 1280
E H V K	892 0 855 1081
Q A P M	918 0 887
E H I L	594 795 961 0 562 992
E L Q R	899 1091 1248 0 866 1280
T C S A	830 892 954 0 786 999
N W T O	962 0 931
Y R E	986 0 929 1042
R D D	373 662 963 0 353 995
C I G	835 888 941 0 786 990
W P V H	912 0 879
I G D Q	362 638 914 0 331 945
A F I D	362 961 0 331 992
C N U K	893 0 862 1082
N W A C	818 922 1025 0 784 1059
I W T O	962 0 931
Q R E D	420 692 963 0 395 995
P F Y A	987 0 934 1040
L P Q	910 0 879
C E D N	417 0 330 462
E L M	422 672 922 0 391 953
I K W	1046 0 1015
D Y T P	362 1009 0 331 1034
D W I O	362 966 0 331 997
F W D	362 961 0 331 992
O D A	362 970 0 331 1001
E Y V Q	422 653 918 0 391 947
A P C T	863 0 788 938
F C Y Q	901 0 790 945
M A S	912 0 881
V G W D	362 961 0 331 992
S L K Y	1014 0 972 1087
V N E M	422 672 922 0 391 953
O N S O	962 0 931
O W Q S	912 0 881
K G G	1046 0 1017
W R I S	1243 0 1210
U C Q H	832 0 783 943
H Y I	975 0 931 1043
U F H I	963 0 930
I C V	834 889 944 0 786 992
E Q O N	422 652 881 0 391 912
E E D L	413 0 331 440
F F K	1047 0 1015
K H H G	1041 0 1010
D C L P	362 575 821 0 331 853
O U C	818 922 1025 0 784 1059
L P W	936 0 905
N A K W	1046 0 1015
K M U	1048 0 1015
C Q U W	0 787 968
Y G S Q	959 0 883 1035
O W T	907 0 876
L K Y U	1017 0 971 1087
I Y R	1000 1147 1245 0 970 1279
V R Q G	1243 0 1210
W Y T	957 0 880 1035
A F S V	959 0 928
M I Q	910 0 879
T I L	957 0 926
T R P	1242 0 1210
M P R K	1240 0 1207
